INFO 2023-07-12 19:36:52 (109841) 	 /tmp/ipykernel_15662/3406232647.py F<module> L3 - Scraped State wise District info successfully.
INFO 2023-07-12 19:56:20 (3932) 	 /tmp/ipykernel_27421/3406232647.py F<module> L3 - Scraped State wise District info successfully.
INFO 2023-07-12 19:58:56 (159649) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added anantapur to andhra pradesh successfuly
INFO 2023-07-12 19:58:56 (159650) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added chittoor to andhra pradesh successfuly
INFO 2023-07-12 19:58:56 (159651) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added east godavari to andhra pradesh successfuly
INFO 2023-07-12 19:58:56 (159651) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added guntur to andhra pradesh successfuly
INFO 2023-07-12 19:58:56 (159652) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added kadapa to andhra pradesh successfuly
INFO 2023-07-12 19:58:56 (159652) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added krishna to andhra pradesh successfuly
INFO 2023-07-12 19:58:56 (159653) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added kurnool to andhra pradesh successfuly
INFO 2023-07-12 19:58:56 (159653) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added prakasam to andhra pradesh successfuly
INFO 2023-07-12 19:58:56 (159654) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added sri potti sriramulu nellore to andhra pradesh successfuly
INFO 2023-07-12 19:58:56 (159655) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added srikakulam to andhra pradesh successfuly
INFO 2023-07-12 19:58:56 (159655) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added visakhapatnam to andhra pradesh successfuly
INFO 2023-07-12 19:58:56 (159656) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added vizianagaram to andhra pradesh successfuly
INFO 2023-07-12 19:58:56 (159657) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added west godavari to andhra pradesh successfuly
INFO 2023-07-12 19:58:56 (159658) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added anjaw to arunachal    pradesh successfuly
INFO 2023-07-12 19:58:56 (159658) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added changlang to arunachal    pradesh successfuly
INFO 2023-07-12 19:58:56 (159659) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added dibang valley to arunachal    pradesh successfuly
INFO 2023-07-12 19:58:56 (159659) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added east kameng to arunachal    pradesh successfuly
INFO 2023-07-12 19:58:56 (159659) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added east siang to arunachal    pradesh successfuly
INFO 2023-07-12 19:58:56 (159659) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added kra daadi to arunachal    pradesh successfuly
INFO 2023-07-12 19:58:56 (159660) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added kurung kumey to arunachal    pradesh successfuly
INFO 2023-07-12 19:58:56 (159660) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added lohit to arunachal    pradesh successfuly
INFO 2023-07-12 19:58:56 (159660) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added longding to arunachal    pradesh successfuly
INFO 2023-07-12 19:58:56 (159661) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added lower dibang valley to arunachal    pradesh successfuly
INFO 2023-07-12 19:58:56 (159661) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added lower subansiri to arunachal    pradesh successfuly
INFO 2023-07-12 19:58:56 (159661) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added namsai to arunachal    pradesh successfuly
INFO 2023-07-12 19:58:56 (159662) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added papum pare to arunachal    pradesh successfuly
INFO 2023-07-12 19:58:56 (159662) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added tawang to arunachal    pradesh successfuly
INFO 2023-07-12 19:58:56 (159662) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added tirap to arunachal    pradesh successfuly
INFO 2023-07-12 19:58:56 (159662) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added upper siang to arunachal    pradesh successfuly
