INFO 2023-07-12 19:06:42 (5802) 	 /tmp/ipykernel_27523/4292130246.py F<module> L3 - Scraped Central Universities successfully.
INFO 2023-07-12 19:06:43 (6781) 	 /tmp/ipykernel_27523/55919344.py F<module> L11 - Added Rajiv Gandhi University successfuly
INFO 2023-07-12 19:06:43 (6783) 	 /tmp/ipykernel_27523/55919344.py F<module> L11 - Added Assam University successfuly
INFO 2023-07-12 19:06:43 (6784) 	 /tmp/ipykernel_27523/55919344.py F<module> L11 - Added Tezpur University successfuly
INFO 2023-07-12 19:06:43 (6784) 	 /tmp/ipykernel_27523/55919344.py F<module> L11 - Added Central University of South Bihar successfuly
INFO 2023-07-12 19:06:43 (6785) 	 /tmp/ipykernel_27523/55919344.py F<module> L11 - Added Mahatma Gandhi Central University North Bihar successfuly
INFO 2023-07-12 19:06:43 (6785) 	 /tmp/ipykernel_27523/55919344.py F<module> L11 - Added Nalanda University successfuly
INFO 2023-07-12 19:06:43 (6786) 	 /tmp/ipykernel_27523/55919344.py F<module> L11 - Added Guru Ghasidas University successfuly
INFO 2023-07-12 19:06:43 (6786) 	 /tmp/ipykernel_27523/55919344.py F<module> L11 - Added Indira Gandhi National Open University successfuly
INFO 2023-07-12 19:06:43 (6787) 	 /tmp/ipykernel_27523/55919344.py F<module> L11 - Added Jamia Millia Islamia successfuly
INFO 2023-07-12 19:06:43 (6788) 	 /tmp/ipykernel_27523/55919344.py F<module> L11 - Added Jawaharlal Nehru University successfuly
INFO 2023-07-12 19:06:43 (6788) 	 /tmp/ipykernel_27523/55919344.py F<module> L11 - Added University of Delhi successfuly
INFO 2023-07-12 19:06:43 (6789) 	 /tmp/ipykernel_27523/55919344.py F<module> L11 - Added Central University of Gujarat successfuly
INFO 2023-07-12 19:06:43 (6789) 	 /tmp/ipykernel_27523/55919344.py F<module> L11 - Added Central University of Haryana successfuly
INFO 2023-07-12 19:06:43 (6789) 	 /tmp/ipykernel_27523/55919344.py F<module> L11 - Added Central University of Himachal Pradesh successfuly
INFO 2023-07-12 19:06:43 (6790) 	 /tmp/ipykernel_27523/55919344.py F<module> L11 - Added Central University of Jammu successfuly
